89.Çekiliş 	5 	24 	41 	43 	45 	47 		5 	1 			2 	4 		42 		205 	
90.Çekiliş 	2 	10 	35 	36 	38 	41 		2 	4 			2 	4 		39 		162 	
91.Çekiliş 	3 	4 	5 	10 	16 	20 		2 	4 			6 	0 		17 		58 	
92.Çekiliş 	6 	21 	29 	38 	40 	47 		3 	3 			2 	4 		41 		181 	
93.Çekiliş 	5 	17 	18 	39 	42 	46 		3 	3 			3 	3 		41 		167 	
94.Çekiliş 	20 	23 	37 	39 	41 	42 		4 	2 			2 	4 		22 		202 	
95.Çekiliş 	7 	29 	36 	38 	41 	42 		3 	3 			1 	5 		35 		193 	
96.Çekiliş 	23 	27 	28 	30 	35 	39 		4 	2 			1 	5 		16 		182 	
97.Çekiliş 	19 	23 	25 	40 	41 	44 		4 	2 			3 	3 		25 		192 	
98.Çekiliş 	3 	12 	22 	23 	25 	29 		4 	2 			5 	1 		26 		114 	
99.Çekiliş 	8 	13 	20 	32 	37 	42 		2 	4 			3 	3 		34 		152 	
100.Çekiliş 	5 	10 	14 	15 	25 	40 		3 	3 			5 	1 		35 		109 	
101.Çekiliş 	9 	12 	19 	22 	24 	32 		2 	4 			5 	1 		23 		118 	
102.Çekiliş 	5 	10 	20 	27 	31 	40 		3 	3 			3 	3 		35 		133 	
103.Çekiliş 	17 	19 	30 	43 	45 	48 		4 	2 			2 	4 		31 		202 	
104.Çekiliş 	4 	20 	22 	35 	38 	48 		1 	5 			3 	3 		44 		167 	
105.Çekiliş 	7 	11 	15 	17 	21 	26 		5 	1 			5 	1 		19 		97 	
106.Çekiliş 	8 	11 	24 	36 	43 	44 		2 	4 			3 	3 		36 		166 	
107.Çekiliş 	5 	8 	11 	25 	34 	48 		3 	3 			4 	2 		43 		131 	
108.Çekiliş 	8 	19 	20 	27 	32 	33 		3 	3 			3 	3 		25 		139 	
109.Çekiliş 	4 	5 	14 	32 	35 	46 		2 	4 			3 	3 		42 		136 	
110.Çekiliş 	1 	17 	25 	26 	28 	46 		3 	3 			3 	3 		45 		143 	
111.Çekiliş 	1 	3 	7 	39 	46 	49 		5 	1 			3 	3 		48 		145 	
112.Çekiliş 	7 	9 	16 	22 	40 	46 		2 	4 			4 	2 		39 		140 	
113.Çekiliş 	14 	20 	21 	23 	28 	44 		2 	4 			4 	2 		30 		150 	
114.Çekiliş 	20 	22 	24 	34 	41 	49 		2 	4 			3 	3 		29 		190 	
115.Çekiliş 	14 	32 	33 	34 	35 	47 		3 	3 			1 	5 		33 		195 	
116.Çekiliş 	1 	13 	15 	28 	41 	42 		4 	2 			3 	3 		41 		140 	
117.Çekiliş 	11 	15 	19 	24 	28 	39 		4 	2 			4 	2 		28 		136 	
118.Çekiliş 	3 	5 	7 	19 	38 	41 		5 	1 			4 	2 		38 		113 	
119.Çekiliş 	12 	13 	30 	31 	41 	48 		3 	3 			2 	4 		36 		175 	
120.Çekiliş 	7 	10 	19 	25 	32 	34 		3 	3 			4 	2 		27 		127 	
121.Çekiliş 	18 	25 	29 	34 	38 	42 		2 	4 			2 	4 		24 		186 	
122.Çekiliş 	2 	19 	27 	28 	33 	48 		3 	3 			2 	4 		46 		157 	
123.Çekiliş 	3 	9 	26 	42 	46 	48 		2 	4 			2 	4 		45 		174 	
124.Çekiliş 	9 	29 	32 	33 	43 	49 		5 	1 			1 	5 		40 		195 	
125.Çekiliş 	1 	9 	10 	23 	30 	48 		3 	3 			4 	2 		47 		121 	
126.Çekiliş 	8 	9 	10 	24 	32 	33 		2 	4 			4 	2 		25 		116 	
127.Çekiliş 	1 	9 	17 	23 	43 	47 		6 	0 			4 	2 		46 		140 	
128.Çekiliş 	5 	9 	11 	31 	35 	37 		6 	0 			3 	3 		32 		128 	
129.Çekiliş 	2 	5 	6 	32 	44 	49 		2 	4 			3 	3 		47 		138 	
